ids,breed
00001,Affenpinscher
00002,Affenpinscher
00004,Affenpinscher
00005,Affenpinscher
00006,Affenpinscher
00007,Affenpinscher
00008,Affenpinscher
00009,Affenpinscher
00010,Affenpinscher
00011,Affenpinscher
00012,Affenpinscher
00013,Affenpinscher
00014,Affenpinscher
00015,Affenpinscher
00016,Affenpinscher
00017,Affenpinscher
00018,Affenpinscher
00019,Affenpinscher
00020,Affenpinscher
00021,Affenpinscher
00022,Affenpinscher
00024,Affenpinscher
00025,Affenpinscher
00026,Affenpinscher
00027,Affenpinscher
00028,Affenpinscher
00029,Affenpinscher
00030,Affenpinscher
00031,Affenpinscher
00032,Affenpinscher
00033,Affenpinscher
00034,Affenpinscher
00035,Affenpinscher
00037,Affenpinscher
00039,Affenpinscher
00043,Affenpinscher
00044,Affenpinscher
00045,Affenpinscher
00046,Affenpinscher
00050,Affenpinscher
00051,Affenpinscher
00052,Affenpinscher
00053,Affenpinscher
00054,Affenpinscher
00056,Affenpinscher
00057,Affenpinscher
00059,Affenpinscher
00060,Affenpinscher
00061,Affenpinscher
00062,Affenpinscher
00063,Affenpinscher
00064,Affenpinscher
00065,Affenpinscher
00066,Affenpinscher
00067,Affenpinscher
00069,Affenpinscher
00070,Affenpinscher
00072,Affenpinscher
00073,Affenpinscher
00075,Affenpinscher
00076,Affenpinscher
00077,Affenpinscher
00079,Affenpinscher
00080,Affenpinscher
00081,Afghan_hound
00082,Afghan_hound
00083,Afghan_hound
00084,Afghan_hound
00085,Afghan_hound
00086,Afghan_hound
00087,Afghan_hound
00088,Afghan_hound
00089,Afghan_hound
00090,Afghan_hound
00091,Afghan_hound
00092,Afghan_hound
00093,Afghan_hound
00094,Afghan_hound
00096,Afghan_hound
00097,Afghan_hound
00098,Afghan_hound
00099,Afghan_hound
00101,Afghan_hound
00102,Afghan_hound
00103,Afghan_hound
00104,Afghan_hound
00105,Afghan_hound
00107,Afghan_hound
00108,Afghan_hound
00109,Afghan_hound
00110,Afghan_hound
00111,Afghan_hound
00112,Afghan_hound
00113,Afghan_hound
00114,Afghan_hound
